keyword,title,label
주가+상승,"에릭슨 투자매력도 높음,주가상승여력 70% 이상 [돈 되는 해외 주식]",1
주가+상승,"""LG디스플레이, 관세 우려에도주가상승기대해볼 시기""-SK",1
주가+상승,"DS투자 ""LS일렉트릭,추가 수주로 주가 상승!""",1
주가+상승,"DS證 “LS일렉트릭, 실적은 성장…주가상승요인 필요”",1
주가+상승,주가상승심상찮은 이마트…체질 개선에 '어닝 서프라이즈' 기대↑,1
주가+상승,美 엔비디아주가4.3%상승마감…110달러선 탈환,1
주가+상승,2차 경선 간 안철수 후보 효과…'이주가'상승,1
주가+상승,"NH투자 ""솔브레인, 낸드 업황 사이클 따라 주가상승전망""",1
주가+상승,"비에이치아이, 펀더멘털·주가상승동력 강화…신규 수주가 중요-신한",1
주가+상승,"""GS리테일, 뚜렷한주가상승동력 없어…목표가↓""-흥국",0
주가+상승,"""카카오페이, 단기주가상승여력 크지 않아"" 목표가 3.4만-신한",1
주가+상승,"[뉴욕증시] 나흘 내리 상승…테슬라 10%, 엔비디아 4% 폭등",1
주가+상승,자사주 소각 '밸류업' 속도…주가상승힘받는다,1
주가+상승,현대엘리베이터주가상승배경 '현대무벡스'... 핵심 계열사 도약,1
주가+상승,빅테크주가이틀째 일제히상승마감…테슬라 7%·엔비디아 4%↑(종합),1
주가+상승,"[클릭 e종목]""LS, 1분기 실적 무난…주가상승여력 충분""",1
주가+상승,"中 '재보복'했지만, ""'치킨게임' 더는 없다""에 주가상승",1
주가+상승,"""한화오션, 수익성 개선으로주가상승여력 생겨…목표가↑""-교보",1
주가+상승,"리게티·아이온큐, 트럼프 관세 유예 발표 20%이상주가상승",1
주가+상승,"""에스엠, 현주가대비상승여력 충분…목표가 상향""-IBK",1
주가+상승,"[오늘의 급등주] 고바이오랩, 간 손상 치료 소재 美 특허 등록에주가상승",1
주가+상승,농심라면' 인기 끌자 주가상승,1
주가+상승,"하이브, 실적 고성장세 지속…뚜렷한 주가상승기대-IBK",1
주가+상승,"[체크!코스닥] 유진로봇, 차부품업체와 89억원 계약에 4%대 주가상승",1
주가+상승,"코스피, 기관 '사자'에 강보합… HD현대중공업 등주가상승",1
주가+급등,"코스닥, 상승 전환…탄핵심판 선고 앞두고 코스피도 낙폭 줄여",1
주가+급등,"구글, 알파벳 실적 호조에주가급등vs 인텔, 실망스러운 전망에 주가하락 [ 한경 글로벌 마켓, 실적 ]",0
주가+급등,이재명 덕에주가급등한 DSC인베스트먼트…상한가 찍자 임원들 대거 지분 매각,0
주가+급등,'세종 테마주' 계룡건설주가급등..22일 하루 거래정지,0
주가+급등,[ET라씨로] 정용진 초청에 트럼프 주니어 방한…신세계 I&C 주가급등,1
주가+급등,"'경기 가늠자' 텍사스인스트루먼트, 깜짝실적…주가급등",1
주가+급등,상지건설 롤러코스터…추가 CB 폭탄에도 주가급등,1
주가+급등,"트럼프 지지 억만장자 애크먼, 지분 매입에 '이것' 주가급등",1
주가+급등,테슬라 찐팬도 '손절'하더니…머스크 '복귀 선언'에 주가급등,1
주가+급등,"트럼프 전자제품 관세 면제, 애플-엔비디아주가급등…삼전은?",1
주가+급등,"[오늘의 급등주] “中, 희토류 수출 중단” 소식에 유니온 주가급등",1
주가+급등,"형지글로벌,주가급등으로 채무 상환부담 덜었다",1
주가+급등,"팔란티어, NATO ‘AI 군사 시스템’ 수주에주가급등[투자360]",1
주가+급등,美 스마트폰·반도체 관세 면제에 애플·엔비디아주가급등... 삼성도 ‘기대’,1
주가+급등,"""시총 1조달러 도전""… 넷플릭스주가급등",1
주가+급등,"테슬라, 실적 부진에도주가급등…머스크 ""5월부터 정부에 쓰는 시간 줄 것""",1
주가+급등,"[분석+] ‘35억 계약’에주가급등한 신라젠, 딜 구조 바꾸고 기술이전 시동",1
주가+급등,‘한덕수 테마주’ 아이스크림에듀주가급등에 포커스운용 지분 전량 매도,1
주가+급등,[오늘의 급등주] 美 태양광 소재 상호관세 면제 소식에 한화솔루션주가급등,1
주가+급등,미국 증시 급등락에도… 서학개미 ‘빅테크 상승’ 베팅,1
주가+급등,정치 테마주 극성에…주가급등 조회공시 요구 급증,1
주가+급등,‘관세 유예’ 호재주가급등…코스피·코스닥 사이드카,1
주가+급등,"한화에어로, 유증논란 수습 후주가'급등'...전고점 눈앞",1
주가+급등,"[11시의 뉴스 Brunch]주가급등뒤 폭락 언제까지?…尹,일주일만에 아크로비스타로",0
주가+급등,시공테크 “주가급등관련 공시할 중요 정보 없어”,0
주가+하락,"구글, 알파벳 실적 호조에주가급등 ",1
주가+하락,"한미반도체 회장, 자녀에 주식 증여…‘주가하락특수’ 겨냥했나",0
주가+하락,[미장브리핑] 美달러화 지수 2022년 3월 이후 최저치…M7주가하락,0
주가+하락,형지글로벌주가하락에 속타는 SK증권,0
주가+하락,주가하락은 '줍줍' 기회···삼성중공업 2거래일 연속 순매수 1위 [주식 초고수는 지금],0
주가+하락,"셀트리온,주가하락에도 본업은 견조…미국 의약 정책 지켜봐야-대신",0
주가+하락,"""LG디스플레이, 관세 불확실성에주가하락…목표가↓""-신한",0
주가+하락,미 AI반도체 대중 수출 통제 강화 이후 반도체주가하락,0
주가+하락,애플 3.4%↓·엔비디아 5.3%↓…빅테크주가일제히하락,0
주가+하락,"IBM, 1분기 실적 기대치 상회…美 정부 사업 축소 여파에주가는하락",0
주가+하락,"""SK하이닉스,주가하락은 비중확대 기회"" 프리마켓서 급등",1
주가+하락,"""테슬라, 심각한 위기상황"" 보고서…주가6%하락",0
주가+하락,"머스크, 테슬라주가하락“내 탓…그래도 지금이 매수 기회”",0
주가+하락,"“실적 개선 기대 종목,주가하락시 매수 기회”",0
주가+하락,"'1분기 최대 매출' LG이노텍, 2분기 실적 우려에주가4%하락(종합)",0
주가+하락,"美연준 금융안정보고서 ""최근 증시 조정에도 주가여전히 높아""",1
주가+하락,"키움證 ""삼성전기주가하락과도…대미수출 비중 제한적""",0
주가+하락,"[서울데이터랩]HLB주가2.55%하락, 바이오주하락주도",0
주가+하락,"LS에코에너지, 희토류 사업 지연에주가하락…목표가↓-LS",0
주가+하락,"이번엔 ""파월 해임"" 걱정…아시아주식·美주가선물하락",0
주가+하락,"셀트리온, 관세·실적 우려로주가선제하락…목표가 하향-NH",0
주가+하락,전환청구권 행사에 상지건설주가12%하락,0
주가+하락,"두산퓨얼셀, 4000억 공급 계약 해지에주가하락",0
주가+하락,관세유예 효과 '딱 하루'...빅테크주가또하락,0
주가+하락,"뉴욕 연금, 머스크에 테슬라주가하락소송 움직임",0
주가+폭락,"트럼프 관세 악재 미리 알았나…저커버그, 메타주가 폭락전 자사주 1조 매각",0
주가+폭락,"‘이재명 테마주’ 잘나가던 상지건설주가 폭락, 무슨 일이",0
주가+폭락,"트럼프발주가폭락에 동아 ""경제적 핵전쟁"" 조선 ""금융위기 후 최악""",0
주가+폭락,주가 폭락보다 더 무서운 국채 매도에 ‘한발 물러선 트럼프’,0
주가+폭락,[함께하는 미래] ‘주가 폭락·경기 침체’ 가져온 트럼프 상호관세,0
주가+폭락,주가 폭락에 장사 없다…머스크 결국 테슬라 복귀하기로,0
주가+폭락,"블랙핑크 리사 남친 父, 세계 1위 부자 자리 내줬다…테슬라주가 폭락에도 머스크 '억만장자 1위'",0
주가+폭락,'SG주가폭락' 라덕연 항소심 4월 시작…1심 징역 25년·벌금1465억,0
주가+폭락,"트럼프,주가 폭락에 시위 잇달아도… 골프 티샷 영상 올렸다",0
주가+폭락,“주가폭락에 퇴직연금 증발 중…트럼프는 골프 중” 부글대는 미국,0
주가+폭락,"주가폭락·시위 아랑곳 않는 트럼프, SNS에 '티샷' 영상",0
주가+폭락,"테슬라주가 폭락, 머스크 한숨 쉬더니 입 열었다",0
주가+폭락,주가 폭락·해킹·방화까지…머스크 ‘최악의 날’,0
주가+폭락,주가 폭락·시위에도 트럼프 ‘굿샷’…“적자 해결 전 협상 안 해”,0
주가+폭락,"""경제는 모르겠고""…주가 폭락에도 정치주 `상한가 행진`",0
주가+폭락,"머스크, 테슬라주가 폭락책임 인정...“지금이 매수 기회”",0
주가+폭락,‘트럼프 관세에주가 폭락’ 머스크도 자산 6조 원 손실,0
주가+폭락,주가 폭락에…아시아 부호들 재산 68조원 증발,0
주가+폭락,"[사설]주가 폭락에 성장률 0%대 전망까지, 추경 시급하다",0
주가+상승,"“달러화 재조정, 주식 시장 단기 혼란 뒤 중기 상승 기대”",1
주가+폭락,"트럼프,주가 폭락에도 ""때론 약을 먹어야 할 때 있다"" 관세 두둔",0
주가+폭락,"미주가 폭락, 5년 만에 최악 하루…트럼프 “호황 누릴 것”",0
주가+폭락,주가 폭락·판매량 급감…구원투수 나선 트럼프?,0
주가+폭락,한화에어로주가 폭락…주주들은 왜 유상증자 소식에 뿔났나,0
주가+폭락,양자컴 CEO 12명 앞에 선 젠슨 황··· '주가 폭락'에 사과 [GTC 2025],0
주가+폭락,"인텔, 실망스러운 전망에주가하락[ 한경 글로벌 마켓, 실적 ]",0
