title,label
"미주가 폭락, 5년 만에 최악 하루…트럼프 “호황 누릴 것”",0
주가상승 미공개 정보로 부당이득 광장 前직원들 재판행(종합),1
"차바이오텍, 유증發주가 폭락··· 자회사 투자 유치시 조기 상환 [Why 바이오]",0
전환청구권 행사에 상지건설주가12%하락,0
[아침밥] 신한투자증권 네이버 목표주가하향…시장 눈높이 높아,0
주가 폭락검은 금요일‥관세정책 여파 환율도 급등,0
"백종원, 어쩌다 국민 밉상 주가하락 …속타는 개미들",0
‘홈닥터’ 정책 기대에…원격의료주급등[특징주],1
"코스피, 美 관세 우려 완화 기대감에 강보합 [fn오전시황]",0
관세 면제 가능성에 애플주가3%상승,1
[뉴욕 인사이트] 뉴욕증시급등마감…미·중 관세율 논란 일단락 시사,1
"관세 협상 기다리는 뉴욕증시, 혼조 마감…엔비디아 2%↓[월스트리트in]",0
"[단독] “주가3배 뛴 지금이 적기”…산은, K조선 호황에 한화오션 지분 전량 매각 추진",1
"한화오션주가, 10% 넘게 급락…산은 지분 매각 영향",0
‘억만장자’ 스티브 코헨 엔비디아주가 폭락은 잘못된 정보 때문,0
"주가바닥 외국인 85억원어치 샀다…호텔신라, 11%대급등",1
[뉴스나우] 오늘 밤 한미 2+2 통상협의...트럼프 전면 나설까?,0
"머스크, 올해 순자산 75조원 증발…테슬라 주가하락 탓",0
"코스피, 2540선에서 ‘오르락내리락’… 코스닥은 소폭 상승세",1
한화오션 지분 4.2% 블록딜…할인율 8.57% [마켓딥다이브],1
"이재명 테마주 상지건설, 거래재개에주가28%상승",1
배당 쏠쏠했는데 털어야 하나…해킹 후폭풍 SK텔레콤주가향방은,1
"머스크, 테슬라 주가하락 “내 탓…그래도 지금이 매수 기회”",0
"트럼프 주니어, 정용진 초청으로 한국 온다…신세계I&C 14%급등, 그룹주 ‘들썩’ [종목Pick]",1
"신한證 SKT 유심 교체, 최대 2000억 부담…주가회복 전망",0
머스크의 한숨... 주가폭락 에 어려움 크다,0
"오스코텍, 높아진 실적 가시성 대비 주가하락 과도 -대신證",0
"머스크, 테슬라주가 폭락에 개인 재산도 270조 날아가",0
‘친구 트럼프’ 입에 테슬라주가수직상승…車 관세 보류 가능성에 12% ‘급등’ [투자360],1
"“평단 $120대 무지성 매매, 제대로 물린걸까요”…엔비디아, ‘中 화웨이 고성능 AI 칩 개발’ 보도에 ‘뚝’ [투자360]",0
‘올드카 천국’ 쿠바처럼 될라…‘트럼프 車 관세’에 美렌터카 주가급등 [투자360],1
"GS리테일, 뚜렷한 주가상승 동력 없어…목표가↓-흥국",1
"“삼성SDI, 실적 부진 계속될 것”… 증권가 목표가 줄하향",1
1분기 실적 주가상승 여력 충분,1
[단독] 주가상승 노재원 타짜4 주연 합류…변요한과 호흡,1
태양광 소재 美관세 면제 보도에 OCI홀딩스주가16%급등(종합),1
정치 테마주급등하자 CB전환 폭탄,1
"LG생건, 체질 개선 기대로급등…증권가선 갑론을박 [종목+]",1
"[특징주] 1분기 영업익 66% 감소한 에코프로비엠, 3%대하락",0
뉴진스 독자 활동 제동 걸리자…하이브주가상승,1
"대형주들, 1분기 실적은 좋은데…주가는 왜하락?",0
영남 산불 피해 확산 와중에…자연과환경 주가급등,1
